Vis,ErrorScore,TruePercent,Reported
barchart_vert,-0.6031098481618944,2.466666667,3
barchart_vert,-2.082462160870888,2.111111111,2
barchart_vert,-2.097297202428549,1.608695652,1.5
barchart_vert,-2.8006911869365854,1.481481481,1.5
barchart_vert,0.2016338611696504,1.025,0
barchart_vert,-1.0191088218704922,2.631578947,3
barchart_vert,-2.5525410268759665,1.045454545,1
barchart_vert,-0.46394709975979004,2.4,3
barchart_vert,-1.7776075770147561,5.833333333,6
barchart_vert,-2.082462160870888,1.111111111,1
barchart_hor,-0.14755718805873305,2.222222222,3
barchart_hor,-1.3523017427030557,3.266666667,3
barchart_hor,-2.534336424467309,1.047619048,1
barchart_hor,-3,2,2
barchart_hor,0.4830828869834442,2.272727273,1
barchart_hor,-0.8236772273595371,1.56,2
barchart_hor,-3,2,2
barchart_hor,-1.415037499278844,1.75,2
barchart_hor,-1.7776075770147584,3.166666667,3
barchart_hor,-0.6780719051126377,1.5,1
angles,2.8328900141647417,78,85
angles,1.0874628412503393,187,185
angles,2.6147098441152083,169,175
angles,1.0874628412503393,52,50
angles,1.0874628412503393,282,280
angles,1.6438561897747248,63,60
angles,2.8328900141647417,243,250
angles,3.599912842187128,132,120
angles,1.6438561897747248,48,45
angles,1.0874628412503393,78,80
angles,0.16992500144231237,349,350
angles,3.0223678130284544,258,250
angles,0.16992500144231237,49,50
angles,1.0874628412503393,168,170
angles,-3,260,260
angles,3.4757334309663976,299,310
angles,0.16992500144231237,356,355
angles,1.6438561897747248,157,160
angles,4.011227255423254,216,200
angles,1.6438561897747248,48,45
volume,3.4757334309663976,27,16
volume,5.933690654952234,125,64
volume,8.072132604167233,343,74
volume,7.801708358916462,343,120
volume,5.3264294871223035,64,24
volume,6.377210530388552,125,42
volume,6.477758266443888,125,36
volume,8.644306961545581,512,112
volume,6.411510988012071,125,40
volume,6.445014845868423,125,38
volume,5.396604781181859,64,22
volume,8.1705510353167,343,55
volume,7.376125389276175,216,50
volume,4.011227255423254,64,48
volume,8.135067945777816,343,62
volume,6.342074667999139,125,44
volume,5.3264294871223035,64,24
volume,7.4928546201747475,216,36
volume,6.659995892429977,125,24
volume,8.262682142362165,343,36
barchart_vert,-1.8534796025330809,1.551724138,1.4
barchart_vert,-2.097297202428549,1.608695652,1.5
barchart_vert,-0.7476128390781563,2.529411765,3
barchart_vert,-0.4150374992788438,3.625,3
barchart_vert,-0.08671163268264229,1.083333333,1.9
barchart_vert,-0.6117294096355397,2.529411765,2
barchart_vert,-0.0614005451659501,2.833333333,2
barchart_vert,0.7004397181410922,4.5,6
barchart_vert,-3,3,3
barchart_vert,-3,1.2,1.2
barchart_hor,1.0874628412503393,7,5
barchart_hor,-1.038288484442184,1.761904762,1.4
barchart_hor,-0.9296106721086023,3.4,3
barchart_hor,-0.6780719051126377,4.5,5
barchart_hor,-1.8624964762500655,2.15,2
barchart_hor,-1,2.375,2
barchart_hor,-2.658963085202187,1.333333333,1.3
barchart_hor,-0.7983661388303496,2.25,1.8
barchart_hor,-1.1255308831330912,2.333333333,2
barchart_hor,-2.313366082749803,1.476190476,1.4
angles,4.864186144654281,159,130
angles,3.7142455176661224,17,30
angles,1.6438561897747248,73,70
angles,4.011227255423254,14,30
angles,2.357552004618084,175,170
angles,1.0874628412503393,262,260
angles,0.16992500144231237,139,140
angles,2.8328900141647417,33,40
angles,4.011227255423254,234,250
angles,1.6438561897747248,263,260
angles,4.400879436282184,281,260
angles,-3,250,250
angles,2.6147098441152083,176,170
angles,3.0223678130284544,282,290
angles,0.16992500144231237,49,50
angles,2.0443941193584534,104,100
angles,0.16992500144231237,281,280
angles,2.357552004618084,185,190
angles,1.0874628412503393,68,70
angles,2.0443941193584534,224,220
volume,6.9901039638575,343,216
volume,6.9901039638575,343,216
volume,7.401946123976537,512,343
volume,6.509775004326937,216,125
volume,-3,64,64
volume,-3,64,64
volume,6.509775004326937,216,125
volume,5.933690654952234,125,64
volume,5.933690654952234,125,64
volume,5.933690654952234,125,64
volume,-3,64,64
volume,7.401946123976537,512,343
volume,-3,216,216
volume,6.509775004326937,216,125
volume,-3,27,27
volume,-3,343,343
volume,-3,27,27
volume,-3,343,343
volume,-3,343,343
volume,-3,216,216
barchart_vert,2.2986207214328878,1.205128205,6
barchart_vert,1.5121119351755277,1.272727273,4
barchart_vert,-3,1,1
barchart_vert,1.7429643346918686,1.777777778,5
barchart_vert,0.13385574644259926,1.027777778,2
barchart_vert,0.35484271753365476,1.846153846,3
barchart_vert,1.2094533656289497,1.8125,4
barchart_vert,-1.2837929649969775,1.714285714,2
barchart_vert,2.237535907624801,1.409090909,6
barchart_vert,-0.13985766303007147,1.217391304,2
barchart_hor,1.6205864104518777,1.05,4
barchart_hor,0.4059923596758361,9.2,8
barchart_hor,-0.897638282054115,2.588235294,3
barchart_hor,-0.5064605279053591,1.421052632,2
barchart_hor,1.1963972130133502,1.833333333,4
barchart_hor,2.3157570710637625,1.146341463,6
barchart_hor,-0.8644850299802946,1.424242424,1
barchart_hor,1.0874628412503393,6,4
barchart_hor,2.025868085752034,1.052631579,5
barchart_hor,-2.3479233065680036,2.928571429,3
angles,2.357552004618084,178,173
angles,3.3398500028846247,58,68
angles,1.0874628412503393,84,82
angles,0.16992500144231237,255,254
angles,3.9188632372745946,22,37
angles,-3,250,250
angles,2.0443941193584534,298,302
angles,-3,333,333
angles,2.0443941193584534,272,276
angles,2.0443941193584534,326,322
angles,1.0874628412503393,26,28
angles,0.16992500144231237,184,183
angles,3.820178962415188,282,296
angles,3.599912842187128,77,65
angles,1.6438561897747248,33,30
angles,3.599912842187128,188,200
angles,2.357552004618084,355,350
angles,2.357552004618084,332,337
angles,4.011227255423254,145,129
angles,3.820178962415188,314,300
volume,4.257387842692652,27,8
volume,7.563196272216737,216,27
volume,8.807757403589267,512,64
volume,7.249113452713728,216,64
volume,5.2143191208007655,64,27
volume,6.61654884377899,125,27
volume,8.820577882655774,512,60
volume,8.596655667674662,512,125
volume,5.2143191208007655,64,27
volume,7.5401280385820995,216,30
volume,6.61654884377899,125,27
volume,8.124767535822473,343,64
volume,6.631177055703978,125,26
volume,4.1799090900149345,27,9
volume,8.596655667674662,512,125
volume,7.769011321097015,343,125
volume,5.933690654952234,125,64
volume,8.807757403589267,512,64
volume,6.61654884377899,125,27
volume,6.61654884377899,125,27
barchart_vert,1.2309544347032855,4.777777778,7
barchart_vert,-2.1009289095198573,1.108108108,1
barchart_vert,-0.8773807125666072,1.580645161,2
barchart_vert,-0.6780719051126377,1.5,1
barchart_vert,-1.526068812590912,1.222222222,1
barchart_vert,0.16992500144231237,6,5
barchart_vert,2.143758339441642,2.705882353,7
barchart_vert,-1.9004643256796478,2.857142857,3
barchart_vert,-0.11247472925841145,8.8,8
barchart_vert,0.34239219760963524,3.857142857,5
barchart_hor,-2.211504104586262,2.090909091,2
barchart_hor,-1.1740294003669238,1.318181818,1
barchart_hor,-3,1,1
barchart_hor,-2.6951454157235877,1.029411765,1
barchart_hor,-3,3,3
barchart_hor,0.16992500144231237,2,1
barchart_hor,-0.09310940439148147,2.8125,2
barchart_hor,-1.2157286895662034,1.305555556,1
barchart_hor,-0.7983661388303496,1.45,1
barchart_hor,0.3692338100380278,4.166666667,3
angles,2.357552004618084,75,70
angles,2.8328900141647417,117,110
angles,2.6147098441152083,244,250
angles,-3,271,271
angles,3.9188632372745946,325,340
angles,4.330916878114617,20,40
angles,1.0874628412503393,252,250
angles,3.4757334309663976,59,70
angles,4.592457037268081,316,340
angles,4.330916878114617,305,285
angles,4.011227255423254,34,50
angles,0.16992500144231237,184,185
angles,1.0874628412503393,87,85
angles,2.8328900141647417,53,60
angles,1.0874628412503393,357,355
angles,1.0874628412503393,6,4
angles,3.599912842187128,333,345
angles,-3,75,75
angles,2.0443941193584534,166,170
angles,0.16992500144231237,251,250
volume,7.5401280385820995,216,30
volume,8.243769031961852,343,40
volume,2.8328900141647417,27,20
volume,6.64565843240871,125,25
