Vis,ErrorScore,TruePercent,Reported
barchart_vert,0.5333333329999999,2.466666667,3
barchart_vert,0.11111111100000004,2.111111111,2
barchart_vert,0.10869565199999998,1.608695652,1.5
barchart_vert,0.0185185189999999,1.481481481,1.5
barchart_vert,1.025,1.025,0
barchart_vert,0.36842105300000005,2.631578947,3
barchart_vert,0.0454545449999999,1.045454545,1
barchart_vert,0.6000000000000001,2.4,3
barchart_vert,0.16666666700000032,5.833333333,6
barchart_vert,0.11111111100000004,1.111111111,1
barchart_hor,0.7777777779999999,2.222222222,3
barchart_hor,0.26666666699999997,3.266666667,3
barchart_hor,0.04761904800000005,1.047619048,1
barchart_hor,0,2,2
barchart_hor,1.272727273,2.272727273,1
barchart_hor,0.43999999999999995,1.56,2
barchart_hor,0,2,2
barchart_hor,0.25,1.75,2
barchart_hor,0.16666666699999988,3.166666667,3
barchart_hor,0.5,1.5,1
angles,7,78,85
angles,2,187,185
angles,6,169,175
angles,2,52,50
angles,2,282,280
angles,3,63,60
angles,7,243,250
angles,12,132,120
angles,3,48,45
angles,2,78,80
angles,1,349,350
angles,8,258,250
angles,1,49,50
angles,2,168,170
angles,0,260,260
angles,11,299,310
angles,1,356,355
angles,3,157,160
angles,16,216,200
angles,3,48,45
volume,11,27,16
volume,61,125,64
volume,269,343,74
volume,223,343,120
volume,40,64,24
volume,83,125,42
volume,89,125,36
volume,400,512,112
volume,85,125,40
volume,87,125,38
volume,42,64,22
volume,288,343,55
volume,166,216,50
volume,16,64,48
volume,281,343,62
volume,81,125,44
volume,40,64,24
volume,180,216,36
volume,101,125,24
volume,307,343,36
barchart_vert,0.15172413800000006,1.551724138,1.4
barchart_vert,0.10869565199999998,1.608695652,1.5
barchart_vert,0.47058823500000013,2.529411765,3
barchart_vert,0.625,3.625,3
barchart_vert,0.816666667,1.083333333,1.9
barchart_vert,0.5294117649999999,2.529411765,2
barchart_vert,0.8333333330000001,2.833333333,2
barchart_vert,1.5,4.5,6
barchart_vert,0,3,3
barchart_vert,0,1.2,1.2
barchart_hor,2,7,5
barchart_hor,0.361904762,1.761904762,1.4
barchart_hor,0.3999999999999999,3.4,3
barchart_hor,0.5,4.5,5
barchart_hor,0.1499999999999999,2.15,2
barchart_hor,0.375,2.375,2
barchart_hor,0.033333332999999854,1.333333333,1.3
barchart_hor,0.44999999999999996,2.25,1.8
barchart_hor,0.3333333330000001,2.333333333,2
barchart_hor,0.07619047600000006,1.476190476,1.4
angles,29,159,130
angles,13,17,30
angles,3,73,70
angles,16,14,30
angles,5,175,170
angles,2,262,260
angles,1,139,140
angles,7,33,40
angles,16,234,250
angles,3,263,260
angles,21,281,260
angles,0,250,250
angles,6,176,170
angles,8,282,290
angles,1,49,50
angles,4,104,100
angles,1,281,280
angles,5,185,190
angles,2,68,70
angles,4,224,220
volume,127,343,216
volume,127,343,216
volume,169,512,343
volume,91,216,125
volume,0,64,64
volume,0,64,64
volume,91,216,125
volume,61,125,64
volume,61,125,64
volume,61,125,64
volume,0,64,64
volume,169,512,343
volume,0,216,216
volume,91,216,125
volume,0,27,27
volume,0,343,343
volume,0,27,27
volume,0,343,343
volume,0,343,343
volume,0,216,216
barchart_vert,4.794871795,1.205128205,6
barchart_vert,2.727272727,1.272727273,4
barchart_vert,0,1,1
barchart_vert,3.222222222,1.777777778,5
barchart_vert,0.9722222220000001,1.027777778,2
barchart_vert,1.153846154,1.846153846,3
barchart_vert,2.1875,1.8125,4
barchart_vert,0.28571428599999993,1.714285714,2
barchart_vert,4.590909091,1.409090909,6
barchart_vert,0.782608696,1.217391304,2
barchart_hor,2.95,1.05,4
barchart_hor,1.1999999999999993,9.2,8
barchart_hor,0.41176470600000004,2.588235294,3
barchart_hor,0.5789473679999999,1.421052632,2
barchart_hor,2.1666666670000003,1.833333333,4
barchart_hor,4.853658537,1.146341463,6
barchart_hor,0.424242424,1.424242424,1
barchart_hor,2,6,4
barchart_hor,3.947368421,1.052631579,5
barchart_hor,0.07142857100000022,2.928571429,3
angles,5,178,173
angles,10,58,68
angles,2,84,82
angles,1,255,254
angles,15,22,37
angles,0,250,250
angles,4,298,302
angles,0,333,333
angles,4,272,276
angles,4,326,322
angles,2,26,28
angles,1,184,183
angles,14,282,296
angles,12,77,65
angles,3,33,30
angles,12,188,200
angles,5,355,350
angles,5,332,337
angles,16,145,129
angles,14,314,300
volume,19,27,8
volume,189,216,27
volume,448,512,64
volume,152,216,64
volume,37,64,27
volume,98,125,27
volume,452,512,60
volume,387,512,125
volume,37,64,27
volume,186,216,30
volume,98,125,27
volume,279,343,64
volume,99,125,26
volume,18,27,9
volume,387,512,125
volume,218,343,125
volume,61,125,64
volume,448,512,64
volume,98,125,27
volume,98,125,27
barchart_vert,2.222222222,4.777777778,7
barchart_vert,0.10810810799999993,1.108108108,1
barchart_vert,0.4193548389999999,1.580645161,2
barchart_vert,0.5,1.5,1
barchart_vert,0.22222222200000008,1.222222222,1
barchart_vert,1,6,5
barchart_vert,4.294117647,2.705882353,7
barchart_vert,0.14285714300000008,2.857142857,3
barchart_vert,0.8000000000000007,8.8,8
barchart_vert,1.142857143,3.857142857,5
barchart_hor,0.09090909099999989,2.090909091,2
barchart_hor,0.318181818,1.318181818,1
barchart_hor,0,1,1
barchart_hor,0.02941176500000009,1.029411765,1
barchart_hor,0,3,3
barchart_hor,1,2,1
barchart_hor,0.8125,2.8125,2
barchart_hor,0.30555555600000006,1.305555556,1
barchart_hor,0.44999999999999996,1.45,1
barchart_hor,1.1666666670000003,4.166666667,3
angles,5,75,70
angles,7,117,110
angles,6,244,250
angles,0,271,271
angles,15,325,340
angles,20,20,40
angles,2,252,250
angles,11,59,70
angles,24,316,340
angles,20,305,285
angles,16,34,50
angles,1,184,185
angles,2,87,85
angles,7,53,60
angles,2,357,355
angles,2,6,4
angles,12,333,345
angles,0,75,75
angles,4,166,170
angles,1,251,250
volume,186,216,30
volume,303,343,40
volume,7,27,20
volume,100,125,25
volume,44,64,20
volume,44,64,20
volume,41,64,23
volume,98,125,27
volume,47,64,17
volume,190,216,26
volume,15,27,12
volume,186,216,30
volume,44,64,20
volume,15,27,12
volume,108,125,17
volume,313,343,30
volume,39,64,25
volume,41,64,23
volume,41,64,23
volume,318,343,25
barchart_vert,0.07777777799999996,1.277777778,1.2
barchart_vert,0.025000000000000133,1.225,1.2
barchart_vert,0.8333333329999997,4.333333333,3.5
barchart_vert,0.10000000000000009,1.5,1.4
barchart_vert,0.8,1.2,2
barchart_vert,0.09444444399999985,1.194444444,1.1
barchart_vert,0.22857142900000005,1.428571429,1.2
barchart_vert,0.12105263200000005,2.421052632,2.3
barchart_vert,0.03043478300000002,2.130434783,2.1
barchart_vert,0.23333333300000003,2.333333333,2.1
barchart_hor,0.06666666700000001,1.366666667,1.3
barchart_hor,0.2545454549999997,2.454545455,2.2
barchart_hor,0.01666666700000019,1.416666667,1.4
barchart_hor,0,2,2
barchart_hor,0.13571428600000002,1.535714286,1.4
barchart_hor,0.14285714300000008,3.142857143,3
barchart_hor,0,4,4
barchart_hor,1,4.5,3.5
barchart_hor,0.07647058799999984,1.176470588,1.1
barchart_hor,0.20000000000000018,4,3.8
angles,20,60,80
angles,3,42,45
angles,13,157,170
angles,10,10,20
angles,5,125,120
angles,3,193,190
angles,1,129,130
angles,4,126,130
angles,12,228,240
angles,17,13,30
angles,4,221,225
angles,15,305,290
angles,20,15,35
angles,2,102,100
angles,0,275,275
angles,13,123,110
angles,8,342,350
angles,3,222,225
angles,7,153,160
angles,4,204,200
volume,143,343,200
volume,0,64,64
volume,0,27,27
volume,75,125,50
volume,116,216,100
volume,34,64,30
volume,166,216,50
volume,95,125,30
volume,11,27,16
volume,243,343,100
volume,75,125,50
volume,193,343,150
volume,422,512,90
volume,422,512,90
volume,293,343,50
volume,176,216,40
volume,44,64,20
volume,176,216,40
volume,95,125,30
volume,176,216,40
barchart_vert,0.004878048999999995,1.195121951,1.2
barchart_vert,0.2272727269999999,2.227272727,2
barchart_vert,0.7411764709999997,2.941176471,2.2
barchart_vert,0.09999999999999987,1.1,1.2
barchart_vert,0.3521739129999999,1.652173913,1.3
barchart_vert,0.75,3.75,4.5
barchart_vert,0.27894736799999986,1.578947368,1.3
barchart_vert,0.09615384599999999,1.153846154,1.25
barchart_vert,0.5,3,2.5
barchart_vert,0.15714285699999997,1.642857143,1.8
barchart_hor,0.050000000000000044,1,1.05
barchart_hor,0.13235294099999995,1.382352941,1.25
barchart_hor,0.3374999999999999,2.4375,2.1
barchart_hor,0.073684211,1.026315789,1.1
barchart_hor,1.8333333329999997,7.833333333,6
barchart_hor,0.09999999999999987,1.1,1.2
barchart_hor,0.442307692,1.692307692,1.25
barchart_hor,0.25,5.25,5
barchart_hor,0.4181818180000001,1.818181818,1.4
barchart_hor,0.16000000000000014,1.36,1.2
angles,6,274,280
angles,7,238,245
angles,9,259,250
angles,1,279,280
angles,0,320,320
angles,5,185,190
angles,6,204,210
angles,13,7,20
angles,7,352,345
angles,28,158,130
angles,5,230,225
angles,1,46,45
angles,2,308,310
angles,10,305,315
angles,5,330,325
angles,3,182,185
angles,2,43,45
angles,0,50,50
angles,1,44,45
angles,12,203,215
volume,49,64,15
volume,448,512,64
volume,200,216,16
volume,111,125,14
volume,52,64,12
volume,111,125,14
volume,318,343,25
volume,320,343,23
volume,196,216,20
volume,50,64,14
volume,51,64,13
volume,109,125,16
volume,13,27,14
volume,112,125,13
volume,111,125,14
volume,328,343,15
volume,318,343,25
volume,320,343,23
volume,321,343,22
volume,115,125,10
barchart_vert,0.5,2,1.5
barchart_vert,0.0034482759999998613,1.103448276,1.1
barchart_vert,0.09999999999999987,1.2,1.1
barchart_vert,0.05789473699999981,1.157894737,1.1
barchart_vert,0.1578947369999999,2.157894737,2
barchart_vert,0.054838709999999846,1.35483871,1.3
barchart_vert,0.75,3.75,3
barchart_vert,0.25,1.75,1.5
barchart_vert,0.14285714300000008,3.142857143,3
barchart_vert,0.08333333300000012,2.416666667,2.5
barchart_hor,0.028571429000000093,1.428571429,1.4
barchart_hor,0.06666666700000001,1.066666667,1
barchart_hor,0.5,3.5,3
barchart_hor,0.318181818,1.681818182,2
barchart_hor,0.263157895,2.263157895,2
barchart_hor,0.7999999999999998,3.8,3
barchart_hor,0.06666666700000001,1.166666667,1.1
barchart_hor,0.053846153999999924,1.346153846,1.4
barchart_hor,0.071428571,1.171428571,1.1
barchart_hor,0.15714285699999997,1.357142857,1.2
angles,2,47,45
angles,5,40,45
angles,5,40,45
angles,2,158,160
angles,5,345,340
angles,14,16,30
angles,9,309,300
angles,6,256,250
angles,5,305,300
angles,1,44,45
angles,3,83,80
angles,1,249,250
angles,6,64,70
angles,1,109,110
angles,27,318,345
angles,5,210,215
angles,2,262,260
angles,9,159,150
angles,5,205,200
angles,37,153,190
volume,0,27,27
volume,127,343,216
volume,0,64,64
volume,91,216,125
volume,127,343,216
